,Env,Learning Freq.,Target Update Freq.,Step Size,Buffer Size,Num Episodes,Algorithm
343,CartPole-v1,10,100,0.0005,100000,9.35,"RNN, 2"
344,CartPole-v1,10,100,0.005,10000,9.52,"RNN, 2"
345,CartPole-v1,10,100,0.005,100000,9.57,"RNN, 2"
346,CartPole-v1,10,100,5e-05,10000,12.43,"RNN, 2"
347,CartPole-v1,10,100,5e-05,100000,9.44,"RNN, 2"
348,CartPole-v1,10,100,0.0005,10000,16.9,"RNN, 4"
349,CartPole-v1,10,100,0.0005,100000,16.330000000000002,"RNN, 4"
350,CartPole-v1,10,100,0.005,10000,16.32,"RNN, 4"
351,CartPole-v1,10,100,0.005,100000,17.97,"RNN, 4"
352,CartPole-v1,10,100,5e-05,10000,18.18,"RNN, 4"
353,CartPole-v1,10,100,5e-05,100000,17.729999999999997,"RNN, 4"
354,CartPole-v1,10,100,0.0005,10000,13.49,"RNN, 8"
355,CartPole-v1,10,100,0.0005,100000,14.750000000000004,"RNN, 8"
356,CartPole-v1,10,100,0.005,10000,17.59,"RNN, 8"
357,CartPole-v1,10,100,0.005,100000,20.04,"RNN, 8"
358,CartPole-v1,10,100,5e-05,10000,11.3,"RNN, 8"
359,CartPole-v1,10,100,5e-05,100000,10.490000000000002,"RNN, 8"
360,CartPole-v1,10,1000,0.0005,10000,150.57000000000002,"RNN, 1"
361,CartPole-v1,10,1000,0.0005,100000,187.18999999999997,"RNN, 1"
362,CartPole-v1,10,1000,0.005,10000,213.24999999999994,"RNN, 1"
363,CartPole-v1,10,1000,0.005,100000,213.4,"RNN, 1"
